Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
raso,chiaro,corta,primavera_estate,2022-04-04,neve,-2.85,primavera,aprile
lino,chiaro,lunga,estate,2022-11-21,pioggia,4.2,autunno,novembre
lino,chiaro,corta,primavera,2022-03-19,neve,5.9,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-07-16,soleggiato,29.0,estate,luglio
seta,scuro,lunga,primavera,2022-11-20,pioggia,15.1,autunno,novembre
lino,scuro,lunga,estate,2022-12-12,nuvoloso,-1.45,inverno,dicembre
seta,scuro,lunga,estate,2022-01-09,pioggia,-1.15,inverno,gennaio
lino,scuro,lunga,primavera_estate,2022-04-18,soleggiato,8.35,primavera,aprile
lino,scuro,corta,estate,2022-03-16,nuvoloso,12.8,primavera,marzo
seta,colorato,lunga,primavera,2022-12-25,nuvoloso,6.85,inverno,dicembre
raso,chiaro,lunga,primavera_estate,2022-02-15,neve,-3.1500000000000004,inverno,febbraio
seta,scuro,corta,primavera_estate,2022-07-14,soleggiato,24.25,estate,luglio
raso,colorato,corta,primavera_estate,2022-04-27,pioggia,13.3,primavera,aprile
lino,colorato,lunga,estate,2022-07-16,soleggiato,31.3,estate,luglio
seta,scuro,lunga,primavera,2022-08-04,soleggiato,30.4,estate,agosto
raso,scuro,corta,primavera,2022-02-03,soleggiato,6.35,inverno,febbraio
seta,scuro,corta,estate,2022-02-26,pioggia,8.35,inverno,febbraio
seta,colorato,corta,estate,2022-08-20,soleggiato,27.1,estate,agosto
seta,colorato,corta,primavera_estate,2022-01-04,pioggia,5.45,inverno,gennaio
raso,colorato,lunga,estate,2022-08-22,soleggiato,27.65,estate,agosto
lino,chiaro,corta,primavera,2022-03-25,soleggiato,10.7,primavera,marzo
seta,chiaro,corta,estate,2022-03-08,nuvoloso,2.1,primavera,marzo
raso,chiaro,lunga,primavera_estate,2022-08-19,pioggia,24.75,estate,agosto
seta,scuro,lunga,estate,2022-09-03,pioggia,23.5,autunno,settembre
raso,chiaro,lunga,estate,2022-10-24,pioggia,20.3,autunno,ottobre
raso,colorato,lunga,primavera,2022-07-08,pioggia,24.15,estate,luglio
seta,chiaro,lunga,estate,2022-01-31,pioggia,7.399999999999999,inverno,gennaio
lino,colorato,corta,estate,2022-06-19,soleggiato,28.9,estate,giugno
raso,colorato,corta,estate,2022-11-16,pioggia,15.55,autunno,novembre
raso,chiaro,lunga,primavera,2022-11-06,nuvoloso,6.35,autunno,novembre
lino,colorato,lunga,primavera_estate,2022-12-10,pioggia,17.2,inverno,dicembre
raso,chiaro,lunga,primavera_estate,2022-06-09,pioggia,22.8,estate,giugno
lino,chiaro,lunga,estate,2022-01-05,pioggia,4.05,inverno,gennaio
raso,scuro,lunga,estate,2022-07-10,soleggiato,26.2,estate,luglio
seta,scuro,corta,primavera,2022-06-08,pioggia,19.15,estate,giugno
raso,chiaro,lunga,estate,2022-03-19,soleggiato,6.0,primavera,marzo
lino,chiaro,corta,primavera,2022-08-12,pioggia,30.45,estate,agosto
lino,scuro,corta,primavera_estate,2022-12-17,pioggia,1.75,inverno,dicembre
lino,colorato,lunga,primavera,2022-12-21,neve,4.0,inverno,dicembre
raso,chiaro,lunga,estate,2022-11-07,soleggiato,7.85,autunno,novembre
raso,colorato,lunga,estate,2022-09-08,pioggia,30.25,autunno,settembre
raso,chiaro,corta,primavera,2022-09-22,soleggiato,15.4,autunno,settembre
raso,scuro,lunga,primavera,2022-04-04,pioggia,8.35,primavera,aprile
raso,scuro,corta,primavera,2022-08-20,pioggia,27.450000000000003,estate,agosto
lino,colorato,lunga,primavera,2022-05-31,soleggiato,23.9,primavera,maggio
raso,scuro,lunga,estate,2022-12-04,pioggia,7.2,inverno,dicembre
lino,chiaro,corta,primavera,2022-03-08,soleggiato,1.4,primavera,marzo
raso,scuro,lunga,primavera_estate,2022-10-30,soleggiato,18.4,autunno,ottobre
raso,chiaro,corta,primavera,2022-04-09,neve,8.2,primavera,aprile
raso,chiaro,corta,primavera_estate,2022-07-20,soleggiato,30.1,estate,luglio
raso,chiaro,corta,primavera,2022-04-02,pioggia,4.15,primavera,aprile
lino,scuro,lunga,primavera,2022-02-25,soleggiato,7.800000000000001,inverno,febbraio
raso,scuro,corta,primavera_estate,2022-02-22,neve,-0.05,inverno,febbraio
lino,chiaro,corta,primavera_estate,2022-07-10,soleggiato,24.5,estate,luglio
seta,scuro,lunga,primavera_estate,2022-05-22,nuvoloso,21.9,primavera,maggio
seta,chiaro,corta,estate,2022-02-13,pioggia,3.35,inverno,febbraio
lino,chiaro,lunga,primavera,2022-03-03,nuvoloso,5.4,primavera,marzo
raso,colorato,corta,primavera_estate,2022-11-01,nuvoloso,18.8,autunno,novembre
seta,chiaro,lunga,primavera,2022-02-11,soleggiato,5.9,inverno,febbraio
seta,colorato,corta,primavera,2022-04-27,soleggiato,20.85,primavera,aprile
raso,chiaro,lunga,estate,2022-02-09,soleggiato,1.7999999999999998,inverno,febbraio
lino,chiaro,lunga,primavera_estate,2022-05-24,pioggia,24.3,primavera,maggio
seta,chiaro,lunga,estate,2022-07-12,pioggia,25.4,estate,luglio
seta,colorato,lunga,estate,2022-03-12,soleggiato,-0.7999999999999998,primavera,marzo
lino,chiaro,lunga,primavera,2022-01-25,soleggiato,-3.25,inverno,gennaio
raso,colorato,corta,primavera,2022-01-23,soleggiato,1.7999999999999998,inverno,gennaio
seta,scuro,lunga,primavera,2022-09-22,soleggiato,15.15,autunno,settembre
raso,chiaro,corta,estate,2022-12-04,pioggia,7.5,inverno,dicembre
lino,scuro,corta,primavera_estate,2022-09-11,pioggia,22.55,autunno,settembre
raso,colorato,corta,estate,2022-12-16,pioggia,15.9,inverno,dicembre
lino,chiaro,lunga,estate,2022-01-16,soleggiato,8.1,inverno,gennaio
lino,scuro,lunga,primavera,2022-01-11,soleggiato,1.5,inverno,gennaio
lino,chiaro,lunga,primavera_estate,2022-07-30,soleggiato,31.65,estate,luglio
lino,chiaro,lunga,primavera_estate,2022-05-29,pioggia,13.8,primavera,maggio
seta,colorato,lunga,primavera,2022-06-20,soleggiato,19.5,estate,giugno
lino,chiaro,lunga,estate,2022-01-02,pioggia,6.45,inverno,gennaio
seta,chiaro,lunga,primavera,2022-08-30,pioggia,28.700000000000003,estate,agosto
lino,colorato,corta,primavera_estate,2022-12-06,soleggiato,-4.05,inverno,dicembre
lino,scuro,lunga,estate,2022-03-05,soleggiato,1.4,primavera,marzo
lino,colorato,corta,primavera_estate,2022-02-12,soleggiato,8.1,inverno,febbraio
lino,scuro,corta,primavera,2022-06-05,soleggiato,29.4,estate,giugno
lino,scuro,corta,estate,2022-03-02,soleggiato,1.4000000000000004,primavera,marzo
raso,chiaro,lunga,primavera,2022-06-26,soleggiato,25.45,estate,giugno
lino,chiaro,corta,estate,2022-02-18,nuvoloso,6.3,inverno,febbraio
lino,chiaro,lunga,estate,2022-05-19,soleggiato,18.65,primavera,maggio
lino,scuro,lunga,primavera,2022-12-16,neve,1.2499999999999998,inverno,dicembre
raso,colorato,corta,primavera_estate,2022-08-15,soleggiato,27.8,estate,agosto
seta,scuro,lunga,primavera,2022-11-17,pioggia,7.4,autunno,novembre
seta,colorato,lunga,primavera,2022-05-06,pioggia,13.0,primavera,maggio
raso,chiaro,corta,primavera_estate,2022-09-22,soleggiato,13.05,autunno,settembre
raso,colorato,lunga,primavera,2022-04-24,pioggia,11.4,primavera,aprile
raso,colorato,lunga,primavera,2022-11-09,pioggia,3.4,autunno,novembre
seta,scuro,lunga,estate,2022-11-25,nuvoloso,5.4,autunno,novembre
seta,scuro,lunga,primavera,2022-06-04,pioggia,17.7,estate,giugno
seta,colorato,lunga,primavera_estate,2022-07-14,soleggiato,29.4,estate,luglio
raso,scuro,lunga,primavera,2022-01-24,pioggia,0.7999999999999998,inverno,gennaio
raso,scuro,corta,primavera_estate,2022-01-29,soleggiato,2.45,inverno,gennaio
seta,chiaro,lunga,primavera,2022-06-29,pioggia,27.8,estate,giugno
seta,scuro,lunga,primavera_estate,2022-05-31,pioggia,22.15,primavera,maggio
seta,chiaro,corta,estate,2022-03-21,soleggiato,-2.65,primavera,marzo
seta,colorato,lunga,primavera_estate,2022-12-04,pioggia,6.15,inverno,dicembre
raso,colorato,corta,primavera,2022-12-02,neve,0.7999999999999998,inverno,dicembre
lino,chiaro,corta,estate,2022-04-10,soleggiato,6.85,primavera,aprile
lino,chiaro,corta,primavera,2022-11-17,nuvoloso,11.8,autunno,novembre
lino,scuro,lunga,primavera_estate,2022-10-17,nuvoloso,10.3,autunno,ottobre
lino,scuro,lunga,primavera,2022-08-01,soleggiato,27.05,estate,agosto
raso,scuro,lunga,estate,2022-02-04,soleggiato,-3.3,inverno,febbraio
seta,colorato,corta,primavera_estate,2022-10-03,soleggiato,23.65,autunno,ottobre
lino,scuro,corta,primavera_estate,2022-08-27,pioggia,17.1,estate,agosto
seta,chiaro,lunga,primavera,2022-07-09,soleggiato,29.25,estate,luglio
seta,colorato,corta,primavera,2022-10-14,soleggiato,16.4,autunno,ottobre
lino,chiaro,lunga,estate,2022-11-22,pioggia,4.75,autunno,novembre
raso,colorato,corta,primavera,2022-05-10,pioggia,19.55,primavera,maggio
seta,scuro,lunga,primavera_estate,2022-04-25,pioggia,9.4,primavera,aprile
seta,chiaro,lunga,primavera,2022-03-01,pioggia,0.8999999999999999,primavera,marzo
seta,scuro,corta,primavera,2022-10-03,nuvoloso,21.15,autunno,ottobre
raso,chiaro,lunga,estate,2022-07-06,pioggia,16.45,estate,luglio
seta,scuro,lunga,estate,2022-09-02,soleggiato,31.0,autunno,settembre
seta,colorato,corta,primavera,2022-04-07,pioggia,6.949999999999999,primavera,aprile
seta,chiaro,corta,primavera_estate,2022-05-04,soleggiato,16.5,primavera,maggio
seta,chiaro,corta,primavera_estate,2022-09-08,pioggia,28.75,autunno,settembre
raso,chiaro,lunga,estate,2022-12-20,nuvoloso,3.8,inverno,dicembre
raso,scuro,corta,primavera,2022-11-22,neve,-1.65,autunno,novembre
seta,chiaro,corta,primavera,2022-11-18,pioggia,21.65,autunno,novembre
raso,scuro,corta,primavera_estate,2022-10-31,soleggiato,10.35,autunno,ottobre
lino,chiaro,corta,primavera,2022-10-01,pioggia,20.0,autunno,ottobre
lino,colorato,lunga,primavera_estate,2022-04-12,soleggiato,7.0,primavera,aprile
lino,scuro,corta,primavera_estate,2022-08-29,nuvoloso,27.55,estate,agosto
raso,chiaro,lunga,primavera,2022-02-21,pioggia,8.049999999999999,inverno,febbraio
seta,chiaro,lunga,primavera,2022-07-18,pioggia,24.25,estate,luglio
lino,scuro,corta,primavera,2022-08-11,soleggiato,26.65,estate,agosto
raso,chiaro,corta,primavera,2022-03-08,soleggiato,-0.55,primavera,marzo
seta,colorato,lunga,primavera_estate,2022-12-23,pioggia,11.6,inverno,dicembre
seta,colorato,lunga,primavera,2022-05-31,pioggia,22.95,primavera,maggio
seta,colorato,lunga,primavera,2022-12-13,pioggia,16.299999999999997,inverno,dicembre
raso,scuro,corta,estate,2022-08-24,soleggiato,27.3,estate,agosto
seta,colorato,lunga,primavera_estate,2022-01-16,nuvoloso,5.1000000000000005,inverno,gennaio
raso,scuro,corta,primavera_estate,2022-03-05,pioggia,9.35,primavera,marzo
raso,scuro,corta,estate,2022-09-24,pioggia,17.3,autunno,settembre
raso,colorato,lunga,estate,2022-11-10,pioggia,12.7,autunno,novembre
seta,scuro,lunga,primavera_estate,2022-11-07,pioggia,7.85,autunno,novembre
raso,colorato,corta,estate,2022-06-03,pioggia,21.9,estate,giugno
raso,colorato,lunga,primavera_estate,2022-07-04,soleggiato,31.15,estate,luglio
seta,colorato,lunga,primavera,2022-02-21,pioggia,6.5,inverno,febbraio
seta,colorato,corta,primavera,2022-02-07,pioggia,7.699999999999999,inverno,febbraio
seta,colorato,lunga,primavera_estate,2022-04-28,soleggiato,17.4,primavera,aprile
raso,colorato,lunga,primavera,2022-08-25,soleggiato,26.85,estate,agosto
raso,chiaro,corta,primavera,2022-02-21,pioggia,8.0,inverno,febbraio
raso,colorato,lunga,estate,2022-03-22,soleggiato,5.55,primavera,marzo
lino,colorato,lunga,primavera,2022-04-30,soleggiato,13.1,primavera,aprile
seta,scuro,lunga,primavera_estate,2022-08-03,soleggiato,33.55,estate,agosto
raso,colorato,lunga,primavera_estate,2022-04-06,pioggia,11.5,primavera,aprile
raso,colorato,corta,primavera_estate,2022-08-27,pioggia,21.8,estate,agosto
raso,chiaro,lunga,estate,2022-07-09,soleggiato,24.5,estate,luglio
lino,chiaro,lunga,estate,2022-03-17,nuvoloso,9.65,primavera,marzo
raso,colorato,corta,primavera,2022-01-13,soleggiato,-0.5499999999999998,inverno,gennaio
seta,colorato,lunga,primavera_estate,2022-03-19,pioggia,13.0,primavera,marzo
lino,chiaro,lunga,estate,2022-10-26,soleggiato,15.4,autunno,ottobre
lino,colorato,lunga,estate,2022-10-12,pioggia,24.65,autunno,ottobre
seta,chiaro,corta,estate,2022-02-12,soleggiato,3.0,inverno,febbraio
seta,chiaro,corta,primavera,2022-12-01,pioggia,3.1,inverno,dicembre
seta,chiaro,corta,primavera,2022-03-20,soleggiato,6.800000000000001,primavera,marzo
lino,chiaro,corta,primavera_estate,2022-03-24,soleggiato,10.2,primavera,marzo
raso,colorato,corta,estate,2022-12-16,pioggia,4.5,inverno,dicembre
raso,chiaro,corta,estate,2022-10-23,nuvoloso,21.3,autunno,ottobre
lino,chiaro,corta,primavera,2022-09-30,pioggia,17.4,autunno,settembre
seta,colorato,lunga,primavera_estate,2022-11-21,pioggia,4.55,autunno,novembre
raso,colorato,lunga,estate,2022-09-13,soleggiato,17.35,autunno,settembre
lino,chiaro,lunga,primavera,2022-07-02,soleggiato,28.200000000000003,estate,luglio
seta,colorato,lunga,primavera,2022-06-09,soleggiato,26.4,estate,giugno
seta,scuro,corta,estate,2022-04-15,soleggiato,15.9,primavera,aprile
seta,chiaro,lunga,primavera_estate,2022-10-24,nuvoloso,21.15,autunno,ottobre
raso,chiaro,corta,estate,2022-05-21,soleggiato,19.15,primavera,maggio
seta,colorato,lunga,primavera,2022-04-12,soleggiato,10.75,primavera,aprile
lino,chiaro,corta,estate,2022-11-18,pioggia,7.4,autunno,novembre
raso,chiaro,lunga,estate,2022-01-22,soleggiato,0.25,inverno,gennaio
lino,scuro,corta,primavera,2022-07-17,pioggia,19.2,estate,luglio
lino,scuro,corta,estate,2022-01-27,soleggiato,5.4,inverno,gennaio
seta,scuro,lunga,primavera_estate,2022-06-20,soleggiato,25.5,estate,giugno
lino,scuro,corta,primavera_estate,2022-06-25,pioggia,26.3,estate,giugno
seta,colorato,lunga,primavera,2022-07-04,soleggiato,35.25,estate,luglio
lino,scuro,lunga,primavera_estate,2022-01-30,soleggiato,5.0,inverno,gennaio
raso,colorato,corta,primavera_estate,2022-09-25,pioggia,11.95,autunno,settembre
seta,colorato,lunga,primavera_estate,2022-01-17,nuvoloso,8.5,inverno,gennaio
raso,scuro,corta,primavera,2022-12-14,pioggia,13.9,inverno,dicembre
lino,chiaro,lunga,estate,2022-03-12,pioggia,9.7,primavera,marzo
lino,scuro,lunga,primavera,2022-07-11,soleggiato,24.75,estate,luglio
raso,chiaro,corta,primavera,2022-02-04,soleggiato,4.800000000000001,inverno,febbraio
raso,colorato,lunga,primavera_estate,2022-07-21,soleggiato,30.9,estate,luglio
raso,scuro,corta,primavera_estate,2022-01-17,soleggiato,-5.8,inverno,gennaio
seta,chiaro,lunga,primavera_estate,2022-02-02,neve,6.550000000000001,inverno,febbraio
raso,colorato,lunga,primavera,2022-08-10,soleggiato,27.8,estate,agosto
lino,chiaro,corta,estate,2022-03-28,soleggiato,10.75,primavera,marzo
lino,colorato,lunga,primavera,2022-12-01,pioggia,8.35,inverno,dicembre
raso,scuro,corta,primavera,2022-04-27,soleggiato,14.95,primavera,aprile
lino,scuro,corta,primavera,2022-02-08,soleggiato,3.25,inverno,febbraio
raso,chiaro,corta,primavera_estate,2022-08-28,pioggia,26.700000000000003,estate,agosto
seta,scuro,lunga,primavera_estate,2022-10-09,nuvoloso,18.2,autunno,ottobre
seta,chiaro,lunga,estate,2022-05-25,pioggia,22.8,primavera,maggio
seta,chiaro,lunga,primavera_estate,2022-06-05,soleggiato,32.3,estate,giugno
raso,scuro,corta,primavera,2022-05-25,pioggia,20.55,primavera,maggio
raso,chiaro,lunga,primavera,2022-04-21,pioggia,16.15,primavera,aprile
raso,colorato,corta,estate,2022-02-18,pioggia,5.6,inverno,febbraio
raso,scuro,lunga,estate,2022-04-02,pioggia,3.55,primavera,aprile
raso,scuro,corta,primavera_estate,2022-09-02,soleggiato,25.75,autunno,settembre
lino,chiaro,lunga,primavera_estate,2022-04-23,nuvoloso,13.05,primavera,aprile
seta,chiaro,lunga,estate,2022-05-25,pioggia,19.05,primavera,maggio
lino,scuro,lunga,primavera,2022-12-03,pioggia,6.05,inverno,dicembre
seta,chiaro,lunga,primavera_estate,2022-02-01,pioggia,4.3,inverno,febbraio
raso,chiaro,lunga,estate,2022-10-03,pioggia,20.5,autunno,ottobre
lino,colorato,lunga,primavera_estate,2022-03-28,pioggia,9.75,primavera,marzo
lino,colorato,lunga,primavera_estate,2022-05-26,soleggiato,24.3,primavera,maggio
lino,colorato,corta,primavera_estate,2022-04-06,pioggia,6.949999999999999,primavera,aprile
raso,colorato,lunga,estate,2022-09-05,soleggiato,28.15,autunno,settembre
raso,scuro,lunga,primavera_estate,2022-10-23,pioggia,22.950000000000003,autunno,ottobre
raso,chiaro,lunga,primavera,2022-08-07,pioggia,25.65,estate,agosto
raso,colorato,corta,primavera,2022-01-01,soleggiato,8.0,inverno,gennaio
raso,chiaro,lunga,estate,2022-02-08,soleggiato,3.95,inverno,febbraio
seta,scuro,corta,estate,2022-10-05,soleggiato,18.4,autunno,ottobre
lino,chiaro,corta,primavera,2022-06-11,soleggiato,24.45,estate,giugno
raso,scuro,corta,primavera,2022-07-10,soleggiato,23.8,estate,luglio
lino,scuro,lunga,primavera,2022-11-14,pioggia,13.95,autunno,novembre
raso,scuro,lunga,estate,2022-01-27,nuvoloso,0.3500000000000001,inverno,gennaio
raso,scuro,corta,primavera_estate,2022-01-15,soleggiato,-2.15,inverno,gennaio
raso,chiaro,lunga,primavera_estate,2022-06-30,soleggiato,28.3,estate,giugno
lino,scuro,lunga,primavera,2022-05-31,pioggia,20.2,primavera,maggio
raso,chiaro,lunga,estate,2022-02-25,soleggiato,10.45,inverno,febbraio
lino,scuro,lunga,primavera_estate,2022-03-09,soleggiato,1.65,primavera,marzo
seta,scuro,lunga,primavera,2022-09-29,pioggia,17.65,autunno,settembre
lino,colorato,corta,estate,2022-06-29,soleggiato,29.05,estate,giugno
raso,scuro,corta,estate,2022-04-21,pioggia,13.2,primavera,aprile
raso,scuro,lunga,primavera,2022-08-31,pioggia,26.4,estate,agosto
seta,scuro,corta,primavera,2022-01-23,soleggiato,2.4,inverno,gennaio
lino,chiaro,corta,primavera_estate,2022-10-13,nuvoloso,17.6,autunno,ottobre
raso,colorato,lunga,primavera_estate,2022-03-21,soleggiato,4.85,primavera,marzo
seta,colorato,lunga,primavera,2022-11-20,pioggia,7.399999999999999,autunno,novembre
seta,scuro,lunga,estate,2022-06-24,soleggiato,24.85,estate,giugno
lino,scuro,corta,primavera,2022-02-11,pioggia,8.25,inverno,febbraio
seta,scuro,corta,primavera_estate,2022-11-22,pioggia,3.55,autunno,novembre
lino,colorato,corta,estate,2022-12-12,nuvoloso,2.6500000000000004,inverno,dicembre
raso,colorato,corta,estate,2022-08-05,pioggia,32.85,estate,agosto
seta,colorato,corta,estate,2022-09-05,pioggia,23.55,autunno,settembre
seta,scuro,lunga,primavera_estate,2022-07-08,soleggiato,25.4,estate,luglio
lino,scuro,lunga,primavera_estate,2022-02-13,soleggiato,1.5,inverno,febbraio
raso,colorato,corta,primavera,2022-06-23,pioggia,29.15,estate,giugno
lino,colorato,corta,estate,2022-08-25,pioggia,18.2,estate,agosto
lino,chiaro,corta,primavera,2022-02-04,soleggiato,5.55,inverno,febbraio
raso,colorato,corta,primavera,2022-07-20,soleggiato,31.0,estate,luglio
raso,colorato,lunga,primavera,2022-05-30,soleggiato,23.85,primavera,maggio
lino,scuro,corta,estate,2022-11-25,nuvoloso,6.9,autunno,novembre
lino,scuro,corta,estate,2022-07-12,nuvoloso,27.85,estate,luglio
raso,colorato,lunga,primavera,2022-09-09,pioggia,23.85,autunno,settembre
raso,colorato,lunga,primavera_estate,2022-01-05,pioggia,10.25,inverno,gennaio
lino,scuro,corta,estate,2022-02-17,soleggiato,6.45,inverno,febbraio
raso,chiaro,lunga,primavera,2022-03-29,nuvoloso,10.85,primavera,marzo
raso,chiaro,lunga,primavera_estate,2022-08-25,soleggiato,27.95,estate,agosto
seta,chiaro,lunga,primavera_estate,2022-12-05,nuvoloso,6.1,inverno,dicembre
lino,scuro,corta,estate,2022-07-23,pioggia,20.200000000000003,estate,luglio
seta,scuro,lunga,primavera_estate,2022-08-02,pioggia,28.7,estate,agosto
lino,scuro,lunga,primavera_estate,2022-06-12,soleggiato,25.9,estate,giugno
lino,chiaro,corta,primavera,2022-05-10,pioggia,12.8,primavera,maggio
seta,colorato,corta,primavera,2022-04-01,pioggia,6.8500000000000005,primavera,aprile
lino,scuro,lunga,estate,2022-09-30,pioggia,20.95,autunno,settembre
lino,colorato,corta,primavera,2022-12-24,pioggia,14.3,inverno,dicembre
raso,scuro,lunga,estate,2022-09-27,pioggia,17.95,autunno,settembre
raso,chiaro,corta,primavera,2022-09-27,pioggia,16.799999999999997,autunno,settembre
lino,chiaro,lunga,estate,2022-04-07,soleggiato,11.15,primavera,aprile
seta,colorato,lunga,estate,2022-07-06,pioggia,28.05,estate,luglio
lino,scuro,lunga,primavera,2022-05-21,soleggiato,21.0,primavera,maggio
raso,chiaro,lunga,primavera,2022-09-06,pioggia,27.25,autunno,settembre
lino,colorato,lunga,primavera_estate,2022-01-28,pioggia,7.0,inverno,gennaio
raso,colorato,corta,primavera,2022-07-11,soleggiato,24.450000000000003,estate,luglio
raso,chiaro,lunga,primavera_estate,2022-04-20,nuvoloso,10.85,primavera,aprile
lino,chiaro,corta,primavera_estate,2022-01-28,pioggia,5.6000000000000005,inverno,gennaio
raso,scuro,lunga,primavera_estate,2022-11-04,pioggia,12.75,autunno,novembre
raso,colorato,corta,estate,2022-03-15,pioggia,7.9,primavera,marzo
seta,scuro,corta,primavera_estate,2022-03-13,nuvoloso,4.7,primavera,marzo
seta,colorato,lunga,primavera,2022-03-16,soleggiato,5.35,primavera,marzo
seta,colorato,corta,estate,2022-05-15,pioggia,24.75,primavera,maggio
lino,scuro,lunga,primavera_estate,2022-04-10,neve,2.1,primavera,aprile
lino,chiaro,lunga,estate,2022-07-11,soleggiato,17.9,estate,luglio
lino,colorato,lunga,primavera_estate,2022-11-08,nuvoloso,9.4,autunno,novembre
seta,scuro,corta,primavera_estate,2022-06-06,soleggiato,27.5,estate,giugno
seta,scuro,corta,primavera_estate,2022-07-15,soleggiato,25.6,estate,luglio
